0 (0,0) 1 100.000000 (1,3) 1 140.000000 (0,0) 140.000000 (0,0) 
1 (0,0) 2 100.000000 (2,3) 2 258.000000 (0,0) 158.000000 (0,0) 
2 (0,0) 1 100.000000 (1,1) 2 198.000000 (0,0) 98.000000 (0,0) 
3 (0,0) 2 100.000000 (1,3) 2 216.000000 (0,0) 116.000000 (0,0) 
4 (0,0) 2 100.000000 (2,1) 2 234.000000 (0,0) 134.000000 (0,0) 
5 (0,0) 1 100.000000 (1,2) 3 174.000000 (0,0) 174.000000 (0,0) 
6 (0,0) 1 100.000000 (2,2) 1 114.000000 (0,0) 114.000000 (0,0) 
7 (0,0) 1 100.000000 (2,1) 1 154.000000 (0,0) 154.000000 (0,0) 
8 (0,0) 1 100.000000 (0,1) 3 194.000000 (0,0) 94.000000 (0,0) 
9 (0,0) 2 100.000000 (1,3) 3 212.000000 (0,0) 112.000000 (0,0) 
10 (0,0) 1 100.000000 (1,1) 2 152.000000 (0,0) 52.000000 (0,0) 
11 (0,0) 2 100.000000 (2,0) 1 170.000000 (0,0) 170.000000 (0,0) 
12 (0,0) 2 100.000000 (3,0) 3 288.000000 (0,0) 188.000000 (0,0) 
13 (0,0) 2 100.000000 (0,2) 1 306.000000 (0,0) 206.000000 (0,0) 
14 (0,0) 2 100.000000 (3,3) 3 424.000000 (0,0) 224.000000 (0,0) 
0 (0,0) 1 0.000000 (3,1) 1 140.000000 (0,0) 140.000000 (0,0) 
1 (0,0) 1 0.000000 (1,2) 1 180.000000 (0,0) 80.000000 (0,0) 
2 (0,0) 1 0.000000 (2,0) 3 220.000000 (0,0) 20.000000 (0,0) 
3 (0,0) 2 100.000000 (2,1) 1 238.000000 (0,0) 38.000000 (0,0) 
4 (0,0) 2 100.000000 (0,3) 3 356.000000 (0,0) 56.000000 (0,0) 
5 (0,0) 1 100.000000 (0,3) 1 296.000000 (0,0) -4.000000 (0,0) 
5 (0,0) 1 100.000000 (3,2) 1 336.000000 (0,0) 36.000000 (0,0) 
6 (0,0) 1 100.000000 (1,1) 3 376.000000 (0,0) -24.000000 (0,0) 
6 (0,0) 2 100.000000 (1,0) 1 394.000000 (0,0) -6.000000 (0,0) 
6 (0,0) 2 100.000000 (0,2) 1 512.000000 (0,0) 12.000000 (0,0) 
7 (0,0) 2 100.000000 (1,2) 2 630.000000 (0,0) 130.000000 (0,0) 
8 (0,0) 2 100.000000 (2,0) 2 648.000000 (0,0) 148.000000 (0,0) 
9 (0,0) 1 100.000000 (2,0) 2 588.000000 (0,0) 88.000000 (0,0) 
10 (0,0) 2 100.000000 (2,1) 1 606.000000 (0,0) 106.000000 (0,0) 
11 (0,0) 2 100.000000 (3,1) 2 724.000000 (0,0) 124.000000 (0,0) 
